бесплатным - крайней 0.2629356 Неправильный перевод, отсутствует слово
меньшей - ранних 0.6123455 Неправильный перевод, неверный перевод
мере - этапах 0.46362706 Неправильный перевод, неверный перевод
том - крайней 0.5976142 Неправильный перевод, неверный перевод
касается - мере 0.6435533 Неправильный перевод, неверный перевод
начального - базовое 0.84515454 Неправильный перевод, корректировка
общего - начальное 0.65633919 Неправильный перевод, неверный перевод
образования - образование 0.7511245 Неправильный перевод, корректировка
начальное - должно 0.55121635 Неправильный перевод, неверный перевод
образование - быть 0.27831325 Неправильный перевод, неверный перевод
должно - обязательным 0.55556864 Неправильный перевод, неверный перевод
быть - техническое 0.46455818 Неправильный перевод, неверный перевод
обязательным - профессиональное 0.48378482 Неправильный перевод, неверный перевод
техническое - образование 0.6481441 Неправильный перевод, неверный перевод
профессиональное - должно 0.4915013 Неправильный перевод, неверный перевод
образование - быть 0.44830185 Неправильный перевод, неверный перевод
должно - обобщено 0.59648806 Неправильный перевод, неверный перевод
быть - доступ 0.37834463 Неправильный перевод, неверный перевод
общедоступным - высшему 0.3681153 Неправильный перевод, неверный перевод
высшее - образованию 0.49987793 Неправильный перевод, неверный перевод
образование - должен 0.31893772 Неправильный перевод, неверный перевод
быть - обеспечен 0.52144855 Неправильный перевод, неверный перевод
одинаково - наравне 0.50344765 Неправильный перевод, неверный перевод
доступным - всеми 0.2478658 Неправильный перевод, отсутствует слово
всех - компетенции 0.4080654 Неправильный перевод, неверный перевод
['каждый', 'человек', 'имеет', 'право', 'образование', 'образование', 'должно', 'быть', 'бесплатным', 'меньшей', 'мере', 'том', 'касается', 'начального', 'общего', 'образования', 'начальное', 'образование', 'должно', 'быть', 'обязательным', 'техническое', 'профессиональное', 'образование', 'должно', 'быть', 'общедоступным', 'высшее', 'образование', 'должно', 'быть', 'одинаково', 'доступным', 'всех', 'основе', 'способностей', 'каждого']
['каждый', 'человек', 'имеет', 'право', 'образование', 'образование', 'должно', 'быть', 'крайней', 'мере', 'ранних', 'этапах', 'крайней', 'мере', 'базовое', 'начальное', 'образование', 'должно', 'быть', 'обязательным', 'техническое', 'профессиональное', 'образование', 'должно', 'быть', 'обобщено', 'доступ', 'высшему', 'образованию', 'должен', 'быть', 'обеспечен', 'наравне', 'всеми', 'основе', 'компетенции']
